host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K04196.01,,FALSE POSITIVE,0.662457501,0.016,0.0,26.28,8.3,,,,,64.1,1.527,1.024,1.142,0.035206,6425.0,3.862,-0.34,2.16,1.237,0.06425,,,,27795.08,3295.0,296.2478,44.07679,,,,,13.5,3.9047983,10.943097,64.1,kepler
K04197.01,,FALSE POSITIVE,1.33258458,0.0247,0.0,81.85,1.25,,,,,127.0,3.222,0.422,2.98,0.010548,6384.0,4.419,-0.16,1.086,1.129,0.28193,,,,2873.72,1868.0,294.7005,46.573132,,,,,14.4,3.7462788,10.165717,127.0,kepler
K04198.01,,CANDIDATE,1.182862515,0.0237,0.0,84.63,1.26,,,,,22.3,2.928,0.284,3.039,0.004368,6017.0,3.699,-0.38,2.639,1.269,0.3795,,,,14544.87,2800.0,283.85291,45.48526,,,,,16.5,5.007085,13.442885,22.3,kepler
K04199.01,,CONFIRMED,0.539915033,0.0121,0.0,85.27,0.82,,,,,97.0,1.1466,0.291,3.532,0.008937,5102.0,4.502,0.1,0.837,0.811,2.85988,,,,2901.68,1871.0,283.58762,40.574928,,,,,17.6,5.7548914,15.009405,97.0,kepler
K04200.01,,FALSE POSITIVE,372.54353,0.9858,0.0,87.66,74.14,,,,,1106.0,21.83,1.7826,42.4,0.812072,5561.0,4.557,-0.06,0.836,0.919,0.01042,,,,0.62,226.0,291.79666,47.385929,,,,,11.9,,,1106.0,kepler
K04267.01,,CONFIRMED,2.20829637,0.0352,0.0,88.0,1.36,,,,,87.9,2.841,0.205,5.9,0.008594,6028.0,4.189,0.14,1.454,1.194,0.79495,,,,2016.25,1709.0,293.5423,43.0261,,,,,12.0,4.366294,11.012017,87.9,kepler
K04268.01,,CONFIRMED,0.849906734,0.014,0.0,81.86,0.59,,,,,124.3,1.141,0.64,4.52,0.010761,4296.0,4.733,-1.0,0.505,0.503,2.42054,,,,396.64,1139.0,293.28802,43.514992,,,,,12.0,3.6563385,11.667964,124.3,kepler
K04269.01,,CONFIRMED,26.6565737,0.1943,0.0,88.72,4.15,,,,,163.4,4.954,0.686,30.6,0.012413,5159.0,3.604,-0.04,3.062,1.373,0.76375,,,,157.45,903.0,293.79684,45.160728,,,,,18.8,4.2997546,11.714887,163.4,kepler
K04269.02,,CANDIDATE,4.4408541,0.0588,0.0,89.93,1.74,,,,,33.9,8.083,0.005,4.26,0.005195,5159.0,3.604,-0.04,3.062,1.373,0.07412,,,,1719.2,1642.0,293.79684,45.160728,,,,,12.0,2.9591436,8.002512,33.9,kepler
K04270.01,,FALSE POSITIVE,373.72257,1.0309,0.0,88.24,67.13,,,,,470.9,14.21,1.5922,47.8,0.609829,6004.0,4.45,-0.02,1.008,1.043,0.01478,,,,1.11,262.0,286.53278,44.554569,,,,,9.6,,,470.9,kepler
